architecture,n,k,nk,tau_BP,censored,tau_pred,residual,absolute_error
grid_2d,14,2,28,7,False,6.72318967578842,0.2768103242115796,0.2768103242115796
grid_2d,14,3,42,5,False,4.828082140826008,0.17191785917399205,0.17191785917399205
grid_2d,14,4,56,4,False,3.817213228359877,0.18278677164012302,0.18278677164012302
grid_2d,14,5,70,3,False,3.181318688264292,-0.18131868826429187,0.18131868826429187
grid_2d,14,6,84,3,False,2.741231454757056,0.258768545242944,0.258768545242944
grid_2d,14,8,112,2,False,2.167292242734011,-0.1672922427340109,0.1672922427340109
grid_2d,14,10,140,1,False,1.8062515511354902,-0.8062515511354902,0.8062515511354902
grid_2d,14,12,168,1,False,1.556384019445017,-0.5563840194450169,0.5563840194450169
grid_2d,14,14,196,1,False,1.3722911701134233,-0.3722911701134233,0.3722911701134233
