architecture,A,c,c_SE,c_CI_low,c_CI_high,R2_log,R2_tau,MAE_train,RMSE_train,AIC,AICc,BIC,n_training
brickwall_1d,1641.4816961412432,1.4475562534337278,0.08999197014378843,1.2592008952191884,1.6359116116482673,0.9315906679365451,0.8096454892071869,1.7401931873151006,2.6458239272585895,1.6392652370727063,2.305931903739373,3.7283101125195524,21
grid_2d,102.17916421111482,0.8166260743985333,0.07184555058634816,0.666251608819101,0.9670005399779656,0.8717908098377045,0.8903539351480986,0.6105542910331666,0.7801586657005724,-7.819208747733242,-7.152542081066575,-5.730163872286396,21
all_to_all,20.368264397459683,0.49936940270929947,0.1493178447011099,0.18684356199747904,0.81189524342112,0.37053993112828865,0.2812744323352647,0.8125313500180827,1.107060034673645,22.906249750242445,23.572916416909113,24.99529462568929,21
