architecture,n,k,nk,tau_BP,censored,tau_pred,residual,absolute_error
brickwall_1d,14,2,28,13,False,13.1945136387477,-0.19451363874770067,0.19451363874770067
brickwall_1d,14,3,42,10,False,7.336541578323443,2.663458421676557,2.663458421676557
brickwall_1d,14,4,56,7,False,4.837662134621637,2.1623378653783627,2.1623378653783627
brickwall_1d,14,5,70,4,False,3.5022959210420823,0.4977040789579177,0.4977040789579177
brickwall_1d,14,6,84,3,False,2.68988386872448,0.31011613127552007,0.31011613127552007
brickwall_1d,14,8,112,2,False,1.7736898509108794,0.22631014908912062,0.22631014908912062
brickwall_1d,14,10,140,2,False,1.284088586009689,0.7159114139903111,0.7159114139903111
brickwall_1d,14,12,168,1,False,0.9862242515740826,0.013775748425917445,0.013775748425917445
brickwall_1d,14,14,196,1,False,0.7889807983530376,0.21101920164696242,0.21101920164696242
