architecture,N,mean,median,std,minimum,maximum
all_to_all,30,0.923015873015873,1.0,0.11557891311357238,0.6666666666666666,1.0
brickwall_1d,30,0.9064285714285715,1.0,0.13603604585029697,0.5714285714285714,1.0
grid_2d,30,0.9408730158730159,1.0,0.10021300976984018,0.6666666666666666,1.0
