architecture,N,Spearman_tau_vs_cone_saturation,p_tau_vs_cone_saturation,Spearman_tau_vs_cone_fraction,p_tau_vs_cone_fraction
brickwall_1d,30,0.5887513223802748,0.0006204161160840223,0.49893434773142736,0.005006855552699886
grid_2d,30,0.505811090129235,0.004350558218213518,0.18725517722793672,0.32175463515858926
all_to_all,30,0.3685364648997404,0.04507549788503123,0.3503548125845108,0.05768402994924398
