quantity,OLS,bootstrap_mean,bootstrap_median,difference
A,1166.0846032639029,1399.284986638322,1173.4594954216082,233.20038337441906
c,1.3538017251713454,1.3703134708218283,1.3551540853021264,0.016511745650482856
