bootstrap_id,A,c
0,1282.1264374382595,1.335626222522709
1,752.5361779983136,1.23766203470814
2,684.6846552877827,1.2295880930695329
3,1029.8853523320417,1.3338898178748215
4,2492.7452005816945,1.5559982779924457
5,921.4685047475251,1.3130214233834305
6,845.0201610861224,1.2544232722126476
7,2379.001444025045,1.5014438065279803
8,2031.6062590589684,1.5097406262367892
9,733.5312523244826,1.2584468704525618
10,1432.4341821774674,1.3966675886113358
11,1057.5527143608003,1.336741882984012
12,1675.570931478325,1.4174537894280461
13,991.1696210886903,1.3259891231316878
14,2041.3124944708331,1.4801092997697167
15,1192.1389880162562,1.359395110043874
16,1383.68723518456,1.392401875895028
17,2359.1797464335227,1.523276138107982
18,930.1989775355049,1.3081486436480092
19,885.753034974174,1.2544904081874042
20,5094.332614942281,1.7389632065404206
21,915.9647929266597,1.28793693810734
22,925.8161626051431,1.2753833576428366
23,2251.608760847664,1.5453925450329695
24,830.1797588312373,1.2625066528350253
25,999.6325177356553,1.334102838718305
26,2170.661440168706,1.5051196060309233
27,858.4401926702977,1.2840942775691107
28,914.4246526478315,1.2996853890642652
29,705.0208624317381,1.2124788194730138
30,1168.6522420367808,1.3612068193173141
31,886.9544016948972,1.32694547958007
32,1349.0963095853517,1.4399663234353217
33,1010.9288387537707,1.3359049433710197
34,2039.3772900503477,1.5078021102332142
35,719.759537076818,1.2350893748966887
36,1196.937796435606,1.3701525245294965
37,998.1559479874442,1.333525655916795
38,724.1674206818607,1.2311225058334612
39,1307.2480093179986,1.3764522626804512
40,2521.0978164598423,1.5672130694832318
41,1015.4578905005536,1.3051217188760738
42,1527.8434126880986,1.4092192496045213
43,1204.9344476751858,1.407399116831615
44,933.0572512878017,1.2805893798470669
45,1324.2008170508948,1.3589617832402976
46,978.969176803153,1.3164508312545946
47,931.0686966333284,1.2925673858401505
48,1039.7309537878334,1.334845831310607
49,1690.405562990147,1.4312917880619709
50,1558.0507617529227,1.4402186162393098
51,1021.8758834349032,1.3441355790633585
52,1348.9826356386507,1.4013392848235655
53,826.9527322695084,1.2959757354388115
54,3234.062394293588,1.6205671943873718
55,1637.1479581176284,1.4702653461291852
56,933.039061003452,1.299900927704494
57,812.8836750545782,1.2527777562417977
58,815.1954313047236,1.2545674842472787
59,1253.564481236514,1.4014150855903105
60,1168.687540267337,1.3330839581479224
61,1060.8689067592438,1.313076435339534
62,1259.3736727464623,1.4059709770626074
63,2077.0559447527194,1.5296426729512065
64,1194.3632915972873,1.389180334339779
65,901.086923961733,1.2776332062433076
66,1840.8104799697599,1.4799240489952048
67,776.7858274371134,1.2413041021058173
68,1496.6632606753533,1.3778201433564081
69,1012.8476608527398,1.3272786631461038
70,1347.4177899704518,1.4123804564536158
71,865.794501486621,1.2492389014290992
72,842.5260878973565,1.2612442215024353
