file,A_log_OLS,c_log_OLS,A_original_scale_NLS,c_original_scale_NLS,delta_c_NLS_minus_OLS
.\notebook1_baseline\all_reconstructed_tau.csv,988.5995348426187,1.2989118842752672,407.9838000911945,1.042847836315395,-0.25606404795987214
.\notebook1_baseline\baseline_predictions.csv,1166.0846032639029,1.3538017251713454,363.3922459356665,1.0115085250817875,-0.342293200089558
.\notebook1_baseline\baseline_tau_dataset.csv,1166.0846032639029,1.3538017251713454,363.3922459356665,1.0115085250817875,-0.342293200089558
.\notebook1_baseline\product_model_predictions.csv,1166.0846032639029,1.3538017251713454,363.3922459356665,1.0115085250817875,-0.342293200089558
