framework,framework_version,simulator,architecture,n,depth,n_samples,mean_entropy,std_entropy,stderr_entropy,mean_normalized_entropy,std_normalized_entropy,stderr_normalized_entropy,seed
PennyLane,0.44.1,lightning.qubit,all_to_all,8,1,50,0.606444002761224,0.3989455906642195,0.056419426496628435,0.151611000690306,0.09973639766605487,0.014104856624157109,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,50,0.6699847623324388,0.38621629881627034,0.05461923277955094,0.1674961905831097,0.09655407470406759,0.013654808194887735,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,50,1.481151111748421,0.4521402325199267,0.0639422848924205,0.37028777793710527,0.11303505812998167,0.015985571223105125,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,50,2.4491027446801583,0.39125098462880586,0.05533124487538846,0.6122756861700396,0.09781274615720147,0.013832811218847114,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,5,50,2.725646137040445,0.26528654335101154,0.037517182752207855,0.6814115342601113,0.06632163583775288,0.009379295688051964,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,6,50,2.9344464154798993,0.3013501438467308,0.042617346045112976,0.7336116038699748,0.0753375359616827,0.010654336511278244,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,7,50,3.0681887818682925,0.15395195798378863,0.021772094693456676,0.7670471954670731,0.03848798949594716,0.005443023673364169,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,8,50,3.089083454415713,0.1561245934773973,0.02207935175157213,0.7722708636039283,0.039031148369349324,0.005519837937893033,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,9,50,3.111187019313258,0.10021689606030677,0.014172809358742064,0.7777967548283145,0.025054224015076693,0.003543202339685516,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,10,50,3.1835560964222793,0.08008937325662369,0.011326347786147826,0.7958890241055698,0.02002234331415592,0.0028315869465369565,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,11,50,3.248685287192966,0.06294620045369315,0.008901937038146832,0.8121713217982415,0.015736550113423287,0.002225484259536708,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,12,50,3.233547963965249,0.061210170548203886,0.008656425334444011,0.8083869909913123,0.015302542637050972,0.002164106333611003,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,13,50,3.231747038138628,0.061369262294845725,0.008678924305020264,0.807936759534657,0.015342315573711431,0.002169731076255066,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,14,50,3.239704984194427,0.06193233118593578,0.008758554271253256,0.8099262460486067,0.015483082796483945,0.002189638567813314,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,15,50,3.2474485794589536,0.06493304359471494,0.009182919089780929,0.8118621448647384,0.016233260898678735,0.002295729772445232,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,16,50,3.2519343794559585,0.06256675391217803,0.008848275193626206,0.8129835948639896,0.015641688478044508,0.0022120687984065516,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,17,50,3.2372903160069297,0.06806371881124956,0.009625663424841788,0.8093225790017324,0.01701592970281239,0.002406415856210447,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,18,50,3.250455325544001,0.056731504348812294,0.008023046286391857,0.8126138313860003,0.014182876087203073,0.0020057615715979643,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,19,50,3.257918229393974,0.07549679373819584,0.010676858962024072,0.8144795573484935,0.01887419843454896,0.002669214740506018,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,20,50,3.253792838092951,0.05619074583708615,0.007946571484266677,0.8134482095232377,0.014047686459271538,0.001986642871066669,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,21,50,3.2308813128530613,0.06248344686287284,0.008836493797729338,0.8077203282132653,0.01562086171571821,0.0022091234494323346,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,22,50,3.2572811661781094,0.06406260051956147,0.009059819849565352,0.8143202915445273,0.01601565012989037,0.002264954962391338,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,23,50,3.26284741832975,0.07705501640332069,0.010897224924645742,0.8157118545824374,0.01926375410083017,0.0027243062311614356,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,24,50,3.2571224913608763,0.06545320195001546,0.009256480589845698,0.8142806228402191,0.016363300487503864,0.0023141201474614244,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,25,50,3.247782420395105,0.06616654060687369,0.009357361910155088,0.8119456050987762,0.01654163515171842,0.002339340477538772,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,26,50,3.243961799258952,0.06530324805132627,0.00923527390612,0.810990449814738,0.016325812012831568,0.00230881847653,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,27,50,3.250683818431097,0.05682040131359448,0.008035618215716734,0.8126709546077743,0.01420510032839862,0.0020089045539291835,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,28,50,3.2546542447811015,0.06472393116130834,0.009153346125842484,0.8136635611952754,0.016180982790327085,0.002288336531460621,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,29,50,3.2470134385843825,0.06027981484038764,0.008524853168461516,0.8117533596460956,0.01506995371009691,0.002131213292115379,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,8,30,50,3.2465865852558515,0.06712429226474186,0.009492808448549337,0.8116466463139629,0.016781073066185464,0.002373202112137334,2223136780
PennyLane,0.44.1,lightning.qubit,all_to_all,10,1,50,0.96593987133687,0.533504740909685,0.07544896401848207,0.19318797426737397,0.106700948181937,0.015089792803696413,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,2,50,1.092740991788788,0.4705888322356431,0.06655131088489635,0.21854819835775763,0.09411776644712862,0.013310262176979271,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,3,50,1.5732969790524882,0.6021505963903717,0.08515695400063113,0.31465939581049773,0.12043011927807433,0.017031390800126223,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,4,50,2.6800086696067495,0.4717177155777244,0.06671095909816721,0.5360017339213499,0.0943435431155449,0.013342191819633442,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,5,50,3.508819105758521,0.3659141860105087,0.05174808045207728,0.7017638211517042,0.07318283720210172,0.010349616090415454,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,6,50,3.7993320287398906,0.26906732224598545,0.03805186563116846,0.7598664057479781,0.05381346444919708,0.00761037312623369,2914332284
PennyLane,0.44.1,lightning.qubit,all_to_all,10,7,50,3.834756836881234,0.23607728582212537,0.03338636993778793,0.7669513673762467,0.04721545716442507,0.006677273987557585,2914332284
