architecture,N,Spearman_tau_vs_entropy_at_onset,p_value
brickwall_1d,30,0.9589550485261386,7.335127989221531e-17
grid_2d,30,0.9659403652148542,5.621410342939391e-18
all_to_all,30,0.900416972107776,1.2450862638063076e-11
