noise_prob,A(p),c(p),R2,MAE,MAPE(%),N_obs,N_cens
0.0,1925.2258848117817,1.5047881859232441,0.682817530596071,2.114122208690432,22.745062507717144,15,0
0.005,2977.9117251493844,1.6278562718067064,0.843358433389911,1.4520520676798694,23.018999816125802,14,1
0.01,1497.5702625050842,1.4164064741576616,0.9113062332715199,1.011572102367388,17.114926100053786,14,1
0.02,1410.4538674439211,1.440541860421348,0.8341078917260263,1.495446800511387,20.375469280506334,15,0
