Framework,A,c,R2,MAE,MAPE(%),N_observed,N_censored
Qiskit (v2.5.2),1798.8605915260853,1.4844279511503466,0.725069833740519,1.8906057730210137,26.883952538318002,21,0
PennyLane Baseline (Clean),988.6,1.299,,1.6064596216155378,,21,0
