Architecture,A,c,R2,MAE,MAPE(%),N_obs,N_cens
1D Brick-Wall (Baseline),988.6,1.299,0.863,1.33,25.2,40,0
all_to_all,2.980477443957293,-0.09815450843514541,0.03460011372186145,1.2737612848607998,25.479361973321325,40,0
cyclic_ring,1.3620384422968193,0.05295027442767204,0.013504995894987992,0.18919535894105013,13.346016327054707,40,0
