n,k,nk,architecture,threshold,tau_BP,censored,tau_baseline,baseline_censored,delta_tau,abs_delta_tau
12,8,96,brickwall,0.02,2,False,2,False,0,0
12,10,120,brickwall,0.02,1,False,2,False,-1,1
12,12,144,brickwall,0.02,1,False,2,False,-1,1
14,2,28,brickwall,0.02,7,False,13,False,-6,6
14,3,42,brickwall,0.02,4,False,10,False,-6,6
14,4,56,brickwall,0.02,3,False,7,False,-4,4
14,5,70,brickwall,0.02,2,False,4,False,-2,2
14,6,84,brickwall,0.02,2,False,2,False,0,0
14,8,112,brickwall,0.02,1,False,2,False,-1,1
14,10,140,brickwall,0.02,1,False,2,False,-1,1
14,12,168,brickwall,0.02,1,False,1,False,0,0
14,14,196,brickwall,0.02,1,False,1,False,0,0
16,2,32,brickwall,0.02,5,False,12,False,-7,7
16,3,48,brickwall,0.02,4,False,10,False,-6,6
16,4,64,brickwall,0.02,2,False,7,False,-5,5
16,5,80,brickwall,0.02,2,False,2,False,0,0
16,6,96,brickwall,0.02,2,False,2,False,0,0
16,8,128,brickwall,0.02,1,False,2,False,-1,1
16,10,160,brickwall,0.02,1,False,2,False,-1,1
16,12,192,brickwall,0.02,1,False,1,False,0,0
16,14,224,brickwall,0.02,1,False,1,False,0,0
16,16,256,brickwall,0.02,1,False,1,False,0,0
8,2,16,brickwall,0.01,19,False,19,False,0,0
8,3,24,brickwall,0.01,16,False,16,False,0,0
8,4,32,brickwall,0.01,13,False,13,False,0,0
8,5,40,brickwall,0.01,10,False,10,False,0,0
8,6,48,brickwall,0.01,7,False,7,False,0,0
8,8,64,brickwall,0.01,2,False,2,False,0,0
10,2,20,brickwall,0.01,17,False,17,False,0,0
10,3,30,brickwall,0.01,14,False,14,False,0,0
10,4,40,brickwall,0.01,11,False,11,False,0,0
10,5,50,brickwall,0.01,8,False,8,False,0,0
10,6,60,brickwall,0.01,3,False,3,False,0,0
10,8,80,brickwall,0.01,2,False,2,False,0,0
10,10,100,brickwall,0.01,2,False,2,False,0,0
12,2,24,brickwall,0.01,15,False,15,False,0,0
12,3,36,brickwall,0.01,12,False,12,False,0,0
12,4,48,brickwall,0.01,9,False,9,False,0,0
12,5,60,brickwall,0.01,4,False,4,False,0,0
12,6,72,brickwall,0.01,4,False,4,False,0,0
12,8,96,brickwall,0.01,2,False,2,False,0,0
12,10,120,brickwall,0.01,2,False,2,False,0,0
12,12,144,brickwall,0.01,2,False,2,False,0,0
14,2,28,brickwall,0.01,13,False,13,False,0,0
14,3,42,brickwall,0.01,10,False,10,False,0,0
14,4,56,brickwall,0.01,7,False,7,False,0,0
14,5,70,brickwall,0.01,4,False,4,False,0,0
14,6,84,brickwall,0.01,2,False,2,False,0,0
14,8,112,brickwall,0.01,2,False,2,False,0,0
14,10,140,brickwall,0.01,2,False,2,False,0,0
14,12,168,brickwall,0.01,1,False,1,False,0,0
14,14,196,brickwall,0.01,1,False,1,False,0,0
16,2,32,brickwall,0.01,12,False,12,False,0,0
16,3,48,brickwall,0.01,10,False,10,False,0,0
16,4,64,brickwall,0.01,7,False,7,False,0,0
16,5,80,brickwall,0.01,2,False,2,False,0,0
16,6,96,brickwall,0.01,2,False,2,False,0,0
16,8,128,brickwall,0.01,2,False,2,False,0,0
16,10,160,brickwall,0.01,2,False,2,False,0,0
16,12,192,brickwall,0.01,1,False,1,False,0,0
16,14,224,brickwall,0.01,1,False,1,False,0,0
16,16,256,brickwall,0.01,1,False,1,False,0,0
8,2,16,brickwall,0.005,31,True,19,False,12,12
8,3,24,brickwall,0.005,28,False,16,False,12,12
8,4,32,brickwall,0.005,25,False,13,False,12,12
8,5,40,brickwall,0.005,20,False,10,False,10,10
8,6,48,brickwall,0.005,20,False,7,False,13,13
8,8,64,brickwall,0.005,13,False,2,False,11,11
10,2,20,brickwall,0.005,25,False,17,False,8,8
10,3,30,brickwall,0.005,21,False,14,False,7,7
10,4,40,brickwall,0.005,17,False,11,False,6,6
10,5,50,brickwall,0.005,14,False,8,False,6,6
10,6,60,brickwall,0.005,9,False,3,False,6,6
10,8,80,brickwall,0.005,4,False,2,False,2,2
10,10,100,brickwall,0.005,2,False,2,False,0,0
12,2,24,brickwall,0.005,23,False,15,False,8,8
12,3,36,brickwall,0.005,20,False,12,False,8,8
12,4,48,brickwall,0.005,17,False,9,False,8,8
12,5,60,brickwall,0.005,10,False,4,False,6,6
12,6,72,brickwall,0.005,8,False,4,False,4,4
12,8,96,brickwall,0.005,3,False,2,False,1,1
12,10,120,brickwall,0.005,2,False,2,False,0,0
12,12,144,brickwall,0.005,2,False,2,False,0,0
14,2,28,brickwall,0.005,21,False,13,False,8,8
14,3,42,brickwall,0.005,18,False,10,False,8,8
14,4,56,brickwall,0.005,13,False,7,False,6,6
14,5,70,brickwall,0.005,10,False,4,False,6,6
14,6,84,brickwall,0.005,5,False,2,False,3,3
14,8,112,brickwall,0.005,3,False,2,False,1,1
14,10,140,brickwall,0.005,2,False,2,False,0,0
14,12,168,brickwall,0.005,2,False,1,False,1,1
14,14,196,brickwall,0.005,1,False,1,False,0,0
16,2,32,brickwall,0.005,19,False,12,False,7,7
16,3,48,brickwall,0.005,16,False,10,False,6,6
16,4,64,brickwall,0.005,13,False,7,False,6,6
16,5,80,brickwall,0.005,10,False,2,False,8,8
16,6,96,brickwall,0.005,6,False,2,False,4,4
16,8,128,brickwall,0.005,2,False,2,False,0,0
16,10,160,brickwall,0.005,2,False,2,False,0,0
16,12,192,brickwall,0.005,2,False,1,False,1,1
16,14,224,brickwall,0.005,2,False,1,False,1,1
16,16,256,brickwall,0.005,1,False,1,False,0,0
8,2,16,brickwall,0.001,31,True,19,False,12,12
