threshold,n_training_total,n_training_used,n_training_censored,censoring_percent,A,c,MAE,RMSE,R2_tau,R2_log,delta_A,relative_A_change_percent,delta_c,relative_c_change_percent
0.1,21,21,0,0.0,1.0,-0.0,0.0,0.0,1.0,,-1165.0846032639029,-99.91424292909785,-1.3538017251713454,-100.0
0.05,21,21,0,0.0,6.890752325032113,0.4361528765256928,0.3727609260888852,0.4810701921766619,0.45712775722237964,0.4299444896689478,-1159.1938509388708,-99.40906926429311,-0.9176488486456527,-67.78310527928375
0.02,21,21,0,0.0,395.05222052862194,1.2406944988235329,0.5948434800026791,0.8487384734401178,0.9208970529464192,0.9289226382386048,-771.0323827352809,-66.12147871407787,-0.11310722634781256,-8.354785212989519
0.01,21,21,0,0.0,1166.0846032639029,1.3538017251713454,1.8290827039414257,2.5467323154678083,0.7991956009820431,0.8749953709575344,0.0,0.0,0.0,0.0
0.005,21,20,1,4.761904761904762,4639.106802968704,1.5475194764212632,4.147285276933641,6.141862182685305,0.47039456570706684,0.8616221840105053,3473.022199704801,297.83621102480186,0.19371775124991775,14.309167114216791
0.001,21,5,16,76.19047619047619,604360.0018341558,2.4030341475741857,2.0357608318304545,2.4757057258742017,0.9329711412825207,0.9616723643987054,603193.9172308919,51728.14352771107,1.0492324224028402,77.50266548597011
0.0001,21,0,21,100.0,,,,,,,,,,
