Model,Formula,Parameters,R2_log,R2_tau,MAE,RMSE,MAPE_percent,AIC,AICc,BIC,LOOCV_MAE,LOOCV_RMSE,LOOCV_MAPE_percent
System-size only,log_tau ~ log_n,2,0.10358249283081011,0.00015018972149083432,4.722421210980259,5.682822247972998,86.00545995070573,54.17395342399442,54.84062009066108,56.262998299441264,5.197740591241161,6.2096738621082705,99.10227599518828
Support-size only,log_tau ~ log_k,2,0.8619162710110597,0.7314754591595853,2.214356834525354,2.945022920010933,27.690120058498408,14.892486598807864,15.55915326547453,16.98153147425471,2.505546773186408,3.43807476814918,30.78867726968949
Ratio-based,log_tau ~ log_k_over_n,2,0.6988193050222549,0.5042414382731963,3.058409750761248,4.001582723504976,39.970060629047325,31.2693401099757,31.93600677664237,33.358384985422546,3.466540682333983,4.75907104830082,44.517256802083466
"Separate n,k exponents",log_tau ~ log_n + log_k,3,0.8863257768594249,0.796376253249667,1.999028810790755,2.564548400884675,26.505519855214555,12.807491684973613,14.219256390855966,15.941058998143882,2.4247080468906907,3.2490199308527052,31.748071150857584
Product nk,log_tau ~ log_nk,2,0.8749953709575344,0.7991956009820431,1.829082703941426,2.5467323154678083,26.851257368114155,12.802787854441398,13.469454521108064,14.891832729888243,2.091647495476253,3.131848847696718,29.911445498094352
