C,A,c,MAE,RMSE,R2_tau,R2_log,n_used,n_censored
1.0,,,,,,,0,21
2.0,54.04900949388973,0.33032576362760624,5.60919166183069,6.86717361511117,0.11167876999755033,0.13026660272439217,14,7
5.0,151.13570757336186,0.7440374058158526,7.012669851392704,8.779316420279045,-0.008063881148635543,0.2337124657333901,19,2
10.0,95.37378274482109,0.7139195481905302,6.460599738729296,8.658277551687306,-0.009647710770372075,0.17187236839067854,21,0
