C,n,k,nk,architecture,threshold,tau_BP,censored
5.0,8,8,64,brickwall,0.01953125,2,False
5.0,10,2,20,brickwall,0.0048828125,25,False
5.0,10,3,30,brickwall,0.0048828125,22,False
5.0,10,4,40,brickwall,0.0048828125,17,False
5.0,10,5,50,brickwall,0.0048828125,14,False
5.0,10,6,60,brickwall,0.0048828125,9,False
5.0,10,8,80,brickwall,0.0048828125,4,False
5.0,10,10,100,brickwall,0.0048828125,2,False
5.0,12,2,24,brickwall,0.001220703125,31,True
5.0,12,3,36,brickwall,0.001220703125,31,True
5.0,12,4,48,brickwall,0.001220703125,29,False
5.0,12,5,60,brickwall,0.001220703125,26,False
5.0,12,6,72,brickwall,0.001220703125,19,False
5.0,12,8,96,brickwall,0.001220703125,11,False
5.0,12,10,120,brickwall,0.001220703125,4,False
5.0,12,12,144,brickwall,0.001220703125,2,False
5.0,14,2,28,brickwall,0.00030517578125,31,True
5.0,14,3,42,brickwall,0.00030517578125,31,True
5.0,14,4,56,brickwall,0.00030517578125,31,True
5.0,14,5,70,brickwall,0.00030517578125,31,True
5.0,14,6,84,brickwall,0.00030517578125,31,True
5.0,14,8,112,brickwall,0.00030517578125,23,False
5.0,14,10,140,brickwall,0.00030517578125,14,False
5.0,14,12,168,brickwall,0.00030517578125,8,False
5.0,14,14,196,brickwall,0.00030517578125,4,False
5.0,16,2,32,brickwall,7.62939453125e-05,31,True
5.0,16,3,48,brickwall,7.62939453125e-05,31,True
5.0,16,4,64,brickwall,7.62939453125e-05,31,True
5.0,16,5,80,brickwall,7.62939453125e-05,31,True
5.0,16,6,96,brickwall,7.62939453125e-05,31,True
5.0,16,8,128,brickwall,7.62939453125e-05,31,True
5.0,16,10,160,brickwall,7.62939453125e-05,23,False
5.0,16,12,192,brickwall,7.62939453125e-05,15,False
5.0,16,14,224,brickwall,7.62939453125e-05,9,False
5.0,16,16,256,brickwall,7.62939453125e-05,2,False
10.0,8,2,16,brickwall,0.0390625,5,False
10.0,8,3,24,brickwall,0.0390625,4,False
10.0,8,4,32,brickwall,0.0390625,3,False
10.0,8,5,40,brickwall,0.0390625,2,False
10.0,8,6,48,brickwall,0.0390625,2,False
10.0,8,8,64,brickwall,0.0390625,1,False
10.0,10,2,20,brickwall,0.009765625,17,False
10.0,10,3,30,brickwall,0.009765625,14,False
10.0,10,4,40,brickwall,0.009765625,12,False
10.0,10,5,50,brickwall,0.009765625,8,False
10.0,10,6,60,brickwall,0.009765625,5,False
10.0,10,8,80,brickwall,0.009765625,2,False
10.0,10,10,100,brickwall,0.009765625,2,False
10.0,12,2,24,brickwall,0.00244140625,30,False
10.0,12,3,36,brickwall,0.00244140625,26,False
10.0,12,4,48,brickwall,0.00244140625,23,False
10.0,12,5,60,brickwall,0.00244140625,18,False
10.0,12,6,72,brickwall,0.00244140625,13,False
10.0,12,8,96,brickwall,0.00244140625,7,False
10.0,12,10,120,brickwall,0.00244140625,3,False
10.0,12,12,144,brickwall,0.00244140625,2,False
10.0,14,2,28,brickwall,0.0006103515625,31,True
10.0,14,3,42,brickwall,0.0006103515625,31,True
10.0,14,4,56,brickwall,0.0006103515625,31,True
10.0,14,5,70,brickwall,0.0006103515625,30,False
10.0,14,6,84,brickwall,0.0006103515625,25,False
10.0,14,8,112,brickwall,0.0006103515625,15,False
10.0,14,10,140,brickwall,0.0006103515625,5,False
10.0,14,12,168,brickwall,0.0006103515625,4,False
10.0,14,14,196,brickwall,0.0006103515625,3,False
10.0,16,2,32,brickwall,0.000152587890625,31,True
10.0,16,3,48,brickwall,0.000152587890625,31,True
10.0,16,4,64,brickwall,0.000152587890625,31,True
10.0,16,5,80,brickwall,0.000152587890625,31,True
10.0,16,6,96,brickwall,0.000152587890625,31,True
10.0,16,8,128,brickwall,0.000152587890625,25,False
10.0,16,10,160,brickwall,0.000152587890625,17,False
10.0,16,12,192,brickwall,0.000152587890625,10,False
10.0,16,14,224,brickwall,0.000152587890625,6,False
10.0,16,16,256,brickwall,0.000152587890625,2,False
