threshold_type,parameter,A,c,MAE,RMSE,R2_tau,n_used,n_censored
fixed,0.01,1166.0846032639029,1.3538017251713454,1.8290827039414257,2.5467323154678083,0.7991956009820431,21.0,0.0
C*2^-n,1.0,,,,,,0.0,21.0
C*2^-n,2.0,54.04900949388973,0.33032576362760624,5.60919166183069,6.86717361511117,0.11167876999755033,14.0,7.0
C*2^-n,5.0,151.13570757336186,0.7440374058158526,7.012669851392704,8.779316420279045,-0.008063881148635543,19.0,2.0
C*2^-n,10.0,95.37378274482109,0.7139195481905302,6.460599738729296,8.658277551687306,-0.009647710770372075,21.0,0.0
