C,n,k,nk,architecture,threshold,tau_BP,censored,tau_fixed,delta_tau,abs_delta_tau
10.0,8,6,48,brickwall,0.0390625,2,False,7,-5,5
10.0,8,8,64,brickwall,0.0390625,1,False,2,-1,1
10.0,10,2,20,brickwall,0.009765625,17,False,17,0,0
10.0,10,3,30,brickwall,0.009765625,14,False,14,0,0
10.0,10,4,40,brickwall,0.009765625,12,False,11,1,1
10.0,10,5,50,brickwall,0.009765625,8,False,8,0,0
10.0,10,6,60,brickwall,0.009765625,5,False,3,2,2
10.0,10,8,80,brickwall,0.009765625,2,False,2,0,0
10.0,10,10,100,brickwall,0.009765625,2,False,2,0,0
10.0,12,2,24,brickwall,0.00244140625,30,False,15,15,15
10.0,12,3,36,brickwall,0.00244140625,26,False,12,14,14
10.0,12,4,48,brickwall,0.00244140625,23,False,9,14,14
10.0,12,5,60,brickwall,0.00244140625,18,False,4,14,14
10.0,12,6,72,brickwall,0.00244140625,13,False,4,9,9
10.0,12,8,96,brickwall,0.00244140625,7,False,2,5,5
10.0,12,10,120,brickwall,0.00244140625,3,False,2,1,1
10.0,12,12,144,brickwall,0.00244140625,2,False,2,0,0
10.0,14,2,28,brickwall,0.0006103515625,31,True,13,18,18
10.0,14,3,42,brickwall,0.0006103515625,31,True,10,21,21
10.0,14,4,56,brickwall,0.0006103515625,31,True,7,24,24
10.0,14,5,70,brickwall,0.0006103515625,30,False,4,26,26
10.0,14,6,84,brickwall,0.0006103515625,25,False,2,23,23
10.0,14,8,112,brickwall,0.0006103515625,15,False,2,13,13
10.0,14,10,140,brickwall,0.0006103515625,5,False,2,3,3
10.0,14,12,168,brickwall,0.0006103515625,4,False,1,3,3
10.0,14,14,196,brickwall,0.0006103515625,3,False,1,2,2
10.0,16,2,32,brickwall,0.000152587890625,31,True,12,19,19
10.0,16,3,48,brickwall,0.000152587890625,31,True,10,21,21
10.0,16,4,64,brickwall,0.000152587890625,31,True,7,24,24
10.0,16,5,80,brickwall,0.000152587890625,31,True,2,29,29
10.0,16,6,96,brickwall,0.000152587890625,31,True,2,29,29
10.0,16,8,128,brickwall,0.000152587890625,25,False,2,23,23
10.0,16,10,160,brickwall,0.000152587890625,17,False,2,15,15
10.0,16,12,192,brickwall,0.000152587890625,10,False,1,9,9
10.0,16,14,224,brickwall,0.000152587890625,6,False,1,5,5
10.0,16,16,256,brickwall,0.000152587890625,2,False,1,1,1
