name,n,k,depth,params,max_abs_diff,mean_abs_diff,norm_pl,norm_qk,time_pl,time_qk,passed
Small / Baseline,8,2,5,40,6.661338147750939e-16,2.0487947331537229e-16,1.0114910662131855,1.0114910662131855,0.3152284622192383,0.9054915904998779,True
Small / Locality,8,4,3,24,4.163336342344337e-16,7.418469841426825e-17,0.49974817232291385,0.4997481723229134,0.029706239700317383,0.20233750343322754,True
Intermediate,12,2,7,84,1.4988010832439613e-15,2.6770934679185414e-16,1.1990445878623555,1.199044587862355,0.11063742637634277,2.43904709815979,True
Interpolation Edge,14,4,4,56,5.218048215738236e-15,5.275522792801355e-16,1.0227292580263363,1.0227292580263327,0.0550537109375,1.9666228294372559,True
Out-of-Sample Spot,18,4,5,90,5.467848396278896e-15,3.824302870214836e-16,0.8400240834166331,0.8400240834166354,0.598996639251709,26.056300163269043,True
